total_items,amoxicillin,azithromycin,cephalosporins,clarithromycin,clindamycin,co_amoxiclav,erythromycin,metronidazole,phenoxymethylpenicillin,tetracyclines,icb_name,month
3908,2731,1,0,13,17,6,63,1049,25,3,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,2024-08-01
4080,2864,0,1,11,12,9,70,1085,26,2,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,2024-09-01
4361,3019,2,2,12,20,8,72,1194,29,3,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,2024-10-01
4158,2903,0,1,7,15,7,53,1138,28,6,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,2024-11-01
4048,2849,1,2,9,17,19,59,1060,24,8,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,2024-12-01
4002,2813,1,1,9,10,15,72,1053,25,3,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,2025-01-01
3905,2714,1,2,12,11,9,72,1062,20,2,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,2025-02-01
3972,2746,0,1,11,26,11,79,1069,24,5,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,2025-03-01
4015,2794,0,0,6,23,6,66,1093,24,3,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,2025-04-01
4057,2761,0,2,22,18,9,59,1151,31,4,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,2025-05-01
3838,2703,1,0,9,10,13,67,1008,21,6,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,2025-06-01
4423,3039,0,2,18,11,8,70,1248,22,5,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,2025-07-01
3708,2548,0,1,8,15,13,57,1045,19,2,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,2025-08-01
4264,2893,1,2,10,9,12,75,1234,26,2,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,2025-09-01
4299,2922,0,8,14,22,20,61,1230,18,4,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,2025-10-01
4032,2739,1,1,9,10,26,70,1156,17,3,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,2025-11-01
4618,3184,2,0,14,17,18,84,1263,29,7,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,2025-12-01
4533,3106,1,2,18,9,20,80,1254,32,11,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,2026-01-01
4158,2842,1,2,19,21,12,71,1161,25,4,NHS COVENTRY AND WARWICKSHIRE INTEGRATED CARE BOARD,2026-02-01
3489,2108,10,1,20,18,18,62,1001,247,4,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2022-01-01
3494,2058,19,1,16,23,24,64,987,295,7,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2022-02-01
3936,2342,8,1,20,12,18,75,1117,335,8,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2022-03-01
3221,1910,13,0,26,17,15,47,908,280,5,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2022-04-01
3479,2096,8,3,20,18,18,63,977,269,7,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2022-05-01
3276,1955,8,1,25,19,14,51,940,256,7,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2022-06-01
3350,2044,11,0,19,11,10,38,963,245,9,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2022-07-01
3447,2159,9,2,12,15,16,61,948,221,4,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2022-08-01
3625,2219,7,2,24,18,16,75,1025,236,3,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2022-09-01
3173,2020,11,2,25,12,10,46,869,173,5,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2022-10-01
3532,2261,9,2,26,25,16,60,959,168,6,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2022-11-01
3494,2160,9,3,31,22,13,58,979,207,12,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2022-12-01
3368,2077,12,5,21,21,13,51,989,170,9,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2023-01-01
3032,1872,8,0,27,20,10,37,874,180,4,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2023-02-01
3555,2215,2,0,31,22,10,50,1006,213,6,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2023-03-01
3095,1923,5,2,27,23,5,50,838,221,1,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2023-04-01
3123,1926,8,1,24,11,12,53,891,193,4,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2023-05-01
3159,1959,9,0,26,21,14,51,892,181,6,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2023-06-01
3005,1853,5,2,32,22,16,54,861,157,3,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2023-07-01
3035,1876,4,3,42,10,20,39,857,178,6,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2023-08-01
2867,1827,6,1,15,16,11,37,822,130,2,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2023-09-01
3215,2013,10,1,27,21,19,44,865,205,10,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2023-10-01
2903,1844,6,2,25,14,18,47,805,138,4,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2023-11-01
3131,1856,10,1,38,21,25,46,862,269,3,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2023-12-01
3049,1872,10,1,35,16,20,56,834,199,6,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2024-01-01
2738,1746,6,0,26,11,18,35,745,147,4,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2024-02-01
2790,1706,5,3,38,18,17,37,806,154,6,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2024-03-01
2844,1763,4,1,23,20,25,47,774,183,4,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2024-04-01
2895,1803,2,1,29,7,16,34,845,154,4,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2024-05-01
2691,1692,2,1,27,18,15,34,716,179,7,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2024-06-01
2949,1854,4,0,27,13,14,32,811,187,7,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2024-07-01
2798,1755,2,2,28,18,25,28,766,166,8,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2024-08-01
2785,1695,1,1,26,12,24,40,809,170,7,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2024-09-01
3111,1890,3,1,34,17,23,31,885,220,7,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2024-10-01
2852,1786,6,0,25,19,21,48,754,190,3,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2024-11-01
2942,1826,2,1,25,18,11,44,820,189,6,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2024-12-01
2988,1855,7,0,21,23,18,33,819,203,9,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2025-01-01
2868,1755,3,0,27,19,20,41,805,193,5,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2025-02-01
2898,1816,6,1,31,20,34,46,821,119,4,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2025-03-01
2961,1856,3,1,42,23,13,49,773,196,5,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2025-04-01
3321,2151,5,1,29,21,24,42,836,204,8,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2025-05-01
2795,1734,4,0,16,17,12,52,770,185,5,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2025-06-01
3000,1947,2,2,22,11,18,50,803,141,4,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2025-07-01
2634,1708,5,0,23,7,36,31,682,137,5,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2025-08-01
2972,1851,4,1,24,13,27,31,818,194,9,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2025-09-01
3198,2006,1,4,41,11,28,43,873,188,3,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2025-10-01
2977,1957,2,4,22,7,26,39,770,147,3,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2025-11-01
3264,2142,1,3,30,10,18,40,859,156,5,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2025-12-01
3136,2052,3,4,35,14,26,38,815,146,3,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2026-01-01
2935,1898,0,3,33,12,14,28,766,174,7,NHS DERBY AND DERBYSHIRE INTEGRATED CARE BOARD,2026-02-01
3138,2139,7,0,38,19,12,54,798,58,13,NHS DEVON INTEGRATED CARE BOARD,2022-01-01
3206,2123,5,1,44,14,19,64,869,62,5,NHS DEVON INTEGRATED CARE BOARD,2022-02-01
3387,2262,3,2,39,16,16,78,868,92,11,NHS DEVON INTEGRATED CARE BOARD,2022-03-01
3204,2153,7,1,34,19,21,70,774,111,14,NHS DEVON INTEGRATED CARE BOARD,2022-04-01
3326,2175,6,1,51,19,22,72,856,102,22,NHS DEVON INTEGRATED CARE BOARD,2022-05-01
3163,2178,3,4,39,18,12,50,749,94,16,NHS DEVON INTEGRATED CARE BOARD,2022-06-01
3149,2201,7,2,24,23,16,57,716,93,10,NHS DEVON INTEGRATED CARE BOARD,2022-07-01
3185,2214,7,2,37,11,19,49,767,61,18,NHS DEVON INTEGRATED CARE BOARD,2022-08-01
3056,2111,6,1,28,12,10,58,718,99,13,NHS DEVON INTEGRATED CARE BOARD,2022-09-01
3073,2084,7,1,36,16,16,52,746,107,8,NHS DEVON INTEGRATED CARE BOARD,2022-10-01
3097,2109,6,1,25,13,18,47,772,94,12,NHS DEVON INTEGRATED CARE BOARD,2022-11-01
3256,2269,4,1,28,11,11,71,767,81,13,NHS DEVON INTEGRATED CARE BOARD,2022-12-01
2996,2011,13,0,27,8,4,53,778,89,13,NHS DEVON INTEGRATED CARE BOARD,2023-01-01
2798,1887,6,1,30,13,9,62,668,106,16,NHS DEVON INTEGRATED CARE BOARD,2023-02-01
3284,2260,6,1,24,15,15,54,797,101,11,NHS DEVON INTEGRATED CARE BOARD,2023-03-01
2666,1829,5,2,18,15,6,63,644,74,10,NHS DEVON INTEGRATED CARE BOARD,2023-04-01
2808,1936,6,1,31,15,8,60,662,80,9,NHS DEVON INTEGRATED CARE BOARD,2023-05-01
2636,1813,6,1,32,21,6,50,618,71,18,NHS DEVON INTEGRATED CARE BOARD,2023-06-01
2685,1856,5,1,30,14,4,46,618,101,10,NHS DEVON INTEGRATED CARE BOARD,2023-07-01
2695,1783,7,1,33,15,8,53,686,100,9,NHS DEVON INTEGRATED CARE BOARD,2023-08-01
2530,1725,7,1,25,17,11,52,601,82,9,NHS DEVON INTEGRATED CARE BOARD,2023-09-01
2696,1845,7,1,29,23,9,54,617,100,11,NHS DEVON INTEGRATED CARE BOARD,2023-10-01
2718,1820,7,0,31,10,8,53,686,94,9,NHS DEVON INTEGRATED CARE BOARD,2023-11-01
2559,1736,2,1,33,18,10,68,604,74,13,NHS DEVON INTEGRATED CARE BOARD,2023-12-01
2664,1771,6,0,28,17,11,52,658,106,15,NHS DEVON INTEGRATED CARE BOARD,2024-01-01
2455,1678,3,1,19,11,5,44,606,81,7,NHS DEVON INTEGRATED CARE BOARD,2024-02-01
2437,1646,5,0,36,19,7,46,574,88,16,NHS DEVON INTEGRATED CARE BOARD,2024-03-01
2405,1633,4,1,27,17,13,51,555,90,14,NHS DEVON INTEGRATED CARE BOARD,2024-04-01
2366,1664,3,1,28,17,10,34,552,52,5,NHS DEVON INTEGRATED CARE BOARD,2024-05-01
2168,1508,6,1,33,7,5,52,473,75,8,NHS DEVON INTEGRATED CARE BOARD,2024-06-01
2304,1633,4,0,11,6,5,41,530,66,8,NHS DEVON INTEGRATED CARE BOARD,2024-07-01
2152,1452,4,1,22,11,7,42,525,81,7,NHS DEVON INTEGRATED CARE BOARD,2024-08-01
2176,1477,6,2,10,15,5,37,535,84,5,NHS DEVON INTEGRATED CARE BOARD,2024-09-01
2294,1562,8,0,19,22,4,46,550,80,3,NHS DEVON INTEGRATED CARE BOARD,2024-10-01
2128,1458,3,0,19,14,11,30,521,72,0,NHS DEVON INTEGRATED CARE BOARD,2024-11-01
2244,1541,5,3,15,9,7,40,520,96,8,NHS DEVON INTEGRATED CARE BOARD,2024-12-01
2112,1431,4,1,29,13,12,41,494,82,5,NHS DEVON INTEGRATED CARE BOARD,2025-01-01
1881,1294,6,0,27,9,6,26,423,81,9,NHS DEVON INTEGRATED CARE BOARD,2025-02-01
2105,1482,2,0,20,14,4,29,464,78,12,NHS DEVON INTEGRATED CARE BOARD,2025-03-01
1904,1287,5,2,20,13,5,35,449,81,7,NHS DEVON INTEGRATED CARE BOARD,2025-04-01
2108,1448,0,2,22,14,10,30,490,87,5,NHS DEVON INTEGRATED CARE BOARD,2025-05-01
1999,1386,4,0,18,13,4,30,468,71,5,NHS DEVON INTEGRATED CARE BOARD,2025-06-01
2073,1375,2,0,14,21,11,43,519,81,7,NHS DEVON INTEGRATED CARE BOARD,2025-07-01
2003,1347,4,2,20,13,10,26,509,70,2,NHS DEVON INTEGRATED CARE BOARD,2025-08-01
1998,1442,2,1,18,9,10,21,442,48,5,NHS DEVON INTEGRATED CARE BOARD,2025-09-01
2072,1405,2,1,17,14,7,30,516,75,5,NHS DEVON INTEGRATED CARE BOARD,2025-10-01
2089,1415,4,2,36,15,11,29,504,66,7,NHS DEVON INTEGRATED CARE BOARD,2025-11-01
2217,1557,6,1,27,8,8,28,515,62,5,NHS DEVON INTEGRATED CARE BOARD,2025-12-01
2163,1488,1,1,35,10,9,24,528,63,4,NHS DEVON INTEGRATED CARE BOARD,2026-01-01
2026,1398,1,0,20,13,9,30,491,61,3,NHS DEVON INTEGRATED CARE BOARD,2026-02-01
3444,2327,2,10,17,23,12,91,910,43,9,NHS DORSET INTEGRATED CARE BOARD,2022-01-01
3280,2175,1,5,18,35,7,76,895,58,10,NHS DORSET INTEGRATED CARE BOARD,2022-02-01
3788,2466,3,12,16,35,16,83,1074,70,13,NHS DORSET INTEGRATED CARE BOARD,2022-03-01
3099,2057,0,10,18,40,11,57,830,63,13,NHS DORSET INTEGRATED CARE BOARD,2022-04-01
3338,2124,0,16,26,55,13,83,934,78,9,NHS DORSET INTEGRATED CARE BOARD,2022-05-01
3201,2103,1,6,16,42,6,79,864,75,9,NHS DORSET INTEGRATED CARE BOARD,2022-06-01
2878,1860,1,2,16,38,5,57,838,56,5,NHS DORSET INTEGRATED CARE BOARD,2022-07-01
2729,1829,4,4,19,25,7,65,730,39,7,NHS DORSET INTEGRATED CARE BOARD,2022-08-01
3038,1979,0,11,16,46,14,63,860,43,6,NHS DORSET INTEGRATED CARE BOARD,2022-09-01
3203,2116,0,2,18,47,12,55,896,48,9,NHS DORSET INTEGRATED CARE BOARD,2022-10-01
3195,2073,0,1,25,40,9,63,926,49,9,NHS DORSET INTEGRATED CARE BOARD,2022-11-01
3140,2145,2,5,21,30,9,61,837,24,6,NHS DORSET INTEGRATED CARE BOARD,2022-12-01
3083,2081,2,10,24,36,8,53,840,18,11,NHS DORSET INTEGRATED CARE BOARD,2023-01-01
2771,1865,2,4,17,39,4,53,755,26,6,NHS DORSET INTEGRATED CARE BOARD,2023-02-01
3188,2152,4,4,24,33,7,64,847,47,6,NHS DORSET INTEGRATED CARE BOARD,2023-03-01
2722,1810,0,4,24,32,7,54,761,24,6,NHS DORSET INTEGRATED CARE BOARD,2023-04-01
3005,2057,3,4,34,26,7,52,763,51,8,NHS DORSET INTEGRATED CARE BOARD,2023-05-01
3014,1959,1,4,25,39,9,66,835,64,12,NHS DORSET INTEGRATED CARE BOARD,2023-06-01
2895,1896,1,4,16,29,3,61,830,48,7,NHS DORSET INTEGRATED CARE BOARD,2023-07-01
3008,2061,1,4,27,31,4,60,767,47,6,NHS DORSET INTEGRATED CARE BOARD,2023-08-01
2609,1742,2,5,21,30,7,53,708,38,3,NHS DORSET INTEGRATED CARE BOARD,2023-09-01
2732,1788,4,3,24,28,8,42,773,54,8,NHS DORSET INTEGRATED CARE BOARD,2023-10-01
2656,1761,0,6,16,44,8,46,735,37,3,NHS DORSET INTEGRATED CARE BOARD,2023-11-01
2678,1850,0,4,30,31,9,52,654,38,10,NHS DORSET INTEGRATED CARE BOARD,2023-12-01
2931,1972,1,4,22,25,19,64,771,46,7,NHS DORSET INTEGRATED CARE BOARD,2024-01-01
2636,1752,1,5,36,28,8,63,686,36,21,NHS DORSET INTEGRATED CARE BOARD,2024-02-01
2590,1766,1,8,29,30,5,68,644,36,3,NHS DORSET INTEGRATED CARE BOARD,2024-03-01
2675,1798,0,11,11,37,9,72,670,55,12,NHS DORSET INTEGRATED CARE BOARD,2024-04-01
2482,1699,0,1,23,34,13,38,623,43,8,NHS DORSET INTEGRATED CARE BOARD,2024-05-01
2509,1677,0,2,22,32,10,45,672,34,15,NHS DORSET INTEGRATED CARE BOARD,2024-06-01
2546,1757,4,1,18,36,9,48,634,36,3,NHS DORSET INTEGRATED CARE BOARD,2024-07-01
2246,1501,1,2,19,38,15,58,565,39,8,NHS DORSET INTEGRATED CARE BOARD,2024-08-01
2409,1623,0,4,14,44,13,28,637,40,6,NHS DORSET INTEGRATED CARE BOARD,2024-09-01
2525,1699,1,5,18,39,13,47,662,35,6,NHS DORSET INTEGRATED CARE BOARD,2024-10-01
2381,1592,0,6,10,36,10,47,640,31,9,NHS DORSET INTEGRATED CARE BOARD,2024-11-01
2648,1823,1,3,21,36,7,68,639,42,8,NHS DORSET INTEGRATED CARE BOARD,2024-12-01
2575,1738,0,3,18,41,11,51,677,29,7,NHS DORSET INTEGRATED CARE BOARD,2025-01-01
2270,1560,3,1,5,31,17,51,578,14,10,NHS DORSET INTEGRATED CARE BOARD,2025-02-01
2405,1670,1,2,22,41,10,41,589,24,5,NHS DORSET INTEGRATED CARE BOARD,2025-03-01
2397,1637,1,3,18,32,12,50,612,28,4,NHS DORSET INTEGRATED CARE BOARD,2025-04-01
2489,1698,1,0,21,38,8,68,613,33,9,NHS DORSET INTEGRATED CARE BOARD,2025-05-01
2453,1641,2,1,29,46,24,63,605,36,6,NHS DORSET INTEGRATED CARE BOARD,2025-06-01
2501,1683,1,4,24,34,12,47,665,25,6,NHS DORSET INTEGRATED CARE BOARD,2025-07-01
2357,1580,0,3,14,31,6,47,625,43,8,NHS DORSET INTEGRATED CARE BOARD,2025-08-01
2601,1720,1,3,24,34,5,54,716,34,10,NHS DORSET INTEGRATED CARE BOARD,2025-09-01
2618,1787,4,3,7,26,3,62,695,28,3,NHS DORSET INTEGRATED CARE BOARD,2025-10-01
2446,1628,1,4,23,33,6,40,642,63,6,NHS DORSET INTEGRATED CARE BOARD,2025-11-01
2691,1831,0,4,19,25,6,56,708,38,4,NHS DORSET INTEGRATED CARE BOARD,2025-12-01
2468,1681,1,2,21,33,5,54,621,41,9,NHS DORSET INTEGRATED CARE BOARD,2026-01-01
2536,1715,0,2,19,29,6,46,669,42,8,NHS DORSET INTEGRATED CARE BOARD,2026-02-01
3559,2364,4,3,9,18,16,86,1034,16,9,NHS FRIMLEY INTEGRATED CARE BOARD,2022-01-01
3392,2280,0,1,11,14,16,95,951,23,1,NHS FRIMLEY INTEGRATED CARE BOARD,2022-02-01
3862,2618,2,3,10,15,13,102,1072,25,2,NHS FRIMLEY INTEGRATED CARE BOARD,2022-03-01
3254,2080,6,1,7,11,11,116,971,45,6,NHS FRIMLEY INTEGRATED CARE BOARD,2022-04-01
3523,2397,1,2,8,18,9,90,970,28,0,NHS FRIMLEY INTEGRATED CARE BOARD,2022-05-01
3300,2256,3,1,8,10,5,91,903,20,3,NHS FRIMLEY INTEGRATED CARE BOARD,2022-06-01
3380,2278,2,0,10,19,10,85,953,22,1,NHS FRIMLEY INTEGRATED CARE BOARD,2022-07-01
3290,2226,2,0,6,12,11,79,928,22,4,NHS FRIMLEY INTEGRATED CARE BOARD,2022-08-01
3212,2217,5,2,4,21,16,94,837,12,4,NHS FRIMLEY INTEGRATED CARE BOARD,2022-09-01
3429,2331,2,1,0,15,18,77,959,21,5,NHS FRIMLEY INTEGRATED CARE BOARD,2022-10-01
3542,2419,4,2,11,22,17,91,952,23,1,NHS FRIMLEY INTEGRATED CARE BOARD,2022-11-01
3341,2238,3,1,11,16,17,103,936,11,5,NHS FRIMLEY INTEGRATED CARE BOARD,2022-12-01
3485,2376,2,0,3,9,13,95,967,19,1,NHS FRIMLEY INTEGRATED CARE BOARD,2023-01-01
3263,2281,1,0,8,16,11,68,852,23,3,NHS FRIMLEY INTEGRATED CARE BOARD,2023-02-01
3572,2463,3,0,5,11,14,85,978,12,1,NHS FRIMLEY INTEGRATED CARE BOARD,2023-03-01
3086,2060,1,1,8,11,18,103,867,16,1,NHS FRIMLEY INTEGRATED CARE BOARD,2023-04-01
3303,2267,2,3,9,12,11,95,886,15,3,NHS FRIMLEY INTEGRATED CARE BOARD,2023-05-01
3253,2193,1,1,6,10,14,89,916,21,2,NHS FRIMLEY INTEGRATED CARE BOARD,2023-06-01
3301,2244,5,2,8,10,15,83,914,17,3,NHS FRIMLEY INTEGRATED CARE BOARD,2023-07-01
3257,2248,3,2,4,17,9,94,846,29,5,NHS FRIMLEY INTEGRATED CARE BOARD,2023-08-01
3261,2224,3,2,7,12,20,84,876,32,1,NHS FRIMLEY INTEGRATED CARE BOARD,2023-09-01
3425,2295,6,0,10,17,15,87,946,46,3,NHS FRIMLEY INTEGRATED CARE BOARD,2023-10-01
3314,2234,5,2,4,11,18,98,912,29,1,NHS FRIMLEY INTEGRATED CARE BOARD,2023-11-01
3198,2176,0,0,8,10,14,95,859,32,4,NHS FRIMLEY INTEGRATED CARE BOARD,2023-12-01
3624,2415,1,3,8,10,11,100,1020,54,2,NHS FRIMLEY INTEGRATED CARE BOARD,2024-01-01
3363,2226,1,1,11,16,18,89,955,39,7,NHS FRIMLEY INTEGRATED CARE BOARD,2024-02-01
3423,2277,3,0,10,9,21,76,968,53,6,NHS FRIMLEY INTEGRATED CARE BOARD,2024-03-01
3263,2156,0,1,8,15,28,81,928,40,6,NHS FRIMLEY INTEGRATED CARE BOARD,2024-04-01
3308,2230,1,1,10,10,15,80,925,34,2,NHS FRIMLEY INTEGRATED CARE BOARD,2024-05-01
3101,2096,1,1,8,9,16,58,878,29,5,NHS FRIMLEY INTEGRATED CARE BOARD,2024-06-01
3283,2251,3,4,6,7,13,86,894,15,4,NHS FRIMLEY INTEGRATED CARE BOARD,2024-07-01
3032,2001,4,2,12,14,12,85,885,14,3,NHS FRIMLEY INTEGRATED CARE BOARD,2024-08-01
3141,2068,2,2,11,18,19,84,906,25,6,NHS FRIMLEY INTEGRATED CARE BOARD,2024-09-01
3492,2363,3,1,10,19,37,83,963,13,0,NHS FRIMLEY INTEGRATED CARE BOARD,2024-10-01
3106,2061,3,3,9,12,25,79,896,17,1,NHS FRIMLEY INTEGRATED CARE BOARD,2024-11-01
3250,2222,1,3,10,13,25,82,871,13,10,NHS FRIMLEY INTEGRATED CARE BOARD,2024-12-01
3218,2181,3,2,8,13,27,71,888,18,7,NHS FRIMLEY INTEGRATED CARE BOARD,2025-01-01
3064,2075,3,2,8,12,21,62,861,17,3,NHS FRIMLEY INTEGRATED CARE BOARD,2025-02-01
3063,2048,2,0,8,12,25,84,856,24,4,NHS FRIMLEY INTEGRATED CARE BOARD,2025-03-01
3082,2048,4,1,9,15,26,56,892,27,4,NHS FRIMLEY INTEGRATED CARE BOARD,2025-04-01
3192,2138,3,2,11,19,14,78,889,34,4,NHS FRIMLEY INTEGRATED CARE BOARD,2025-05-01
3057,1996,1,1,6,17,12,88,901,30,5,NHS FRIMLEY INTEGRATED CARE BOARD,2025-06-01
3251,2137,7,2,5,10,17,83,947,40,3,NHS FRIMLEY INTEGRATED CARE BOARD,2025-07-01
2930,1886,4,1,11,14,18,76,893,24,3,NHS FRIMLEY INTEGRATED CARE BOARD,2025-08-01
3206,2136,1,1,3,20,18,53,946,23,5,NHS FRIMLEY INTEGRATED CARE BOARD,2025-09-01
3266,2199,2,1,12,14,17,76,898,43,4,NHS FRIMLEY INTEGRATED CARE BOARD,2025-10-01
3115,2058,3,0,11,14,19,70,905,30,5,NHS FRIMLEY INTEGRATED CARE BOARD,2025-11-01
3351,2274,1,1,12,17,29,84,897,32,4,NHS FRIMLEY INTEGRATED CARE BOARD,2025-12-01
3371,2294,2,2,7,16,21,58,933,35,3,NHS FRIMLEY INTEGRATED CARE BOARD,2026-01-01
2977,1996,2,1,6,19,14,60,844,30,5,NHS FRIMLEY INTEGRATED CARE BOARD,2026-02-01
2142,1395,7,0,18,18,14,40,641,7,2,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,2022-01-01
1828,1190,0,0,7,10,4,32,574,10,1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,2022-02-01
2168,1422,4,0,7,15,6,34,669,8,3,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,2022-03-01
2040,1331,1,0,9,11,9,30,640,9,0,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,2022-04-01
1944,1330,0,0,10,9,3,27,558,7,0,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,2022-05-01
1898,1237,0,0,6,16,9,32,592,6,0,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,2022-06-01
1910,1244,1,0,3,8,10,50,589,4,1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,2022-07-01
1748,1193,1,0,12,10,9,45,457,19,2,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,2022-08-01
1745,1133,2,1,8,10,5,31,542,13,0,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,2022-09-01
1802,1206,2,0,22,8,6,29,523,4,2,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,2022-10-01
1829,1221,2,0,10,9,6,21,550,10,0,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,2022-11-01
1794,1196,0,0,12,17,4,26,519,19,1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,2022-12-01
1777,1150,0,0,10,6,9,42,546,10,4,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,2023-01-01
1525,1006,0,0,6,13,6,36,440,16,2,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,2023-02-01
1747,1221,2,1,8,9,10,25,450,20,1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,2023-03-01
1438,962,1,0,5,9,7,28,416,9,1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,2023-04-01
1504,1036,0,0,11,8,6,32,404,6,1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,2023-05-01
1602,1128,2,0,3,10,0,35,397,26,1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,2023-06-01
1574,1031,2,0,9,4,13,27,468,19,1,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,2023-07-01
1507,1044,0,0,7,10,10,28,383,22,3,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,2023-08-01
1689,1179,2,1,9,6,9,29,439,13,2,NHS GLOUCESTERSHIRE INTEGRATED CARE BOARD,2023-09-01
